,School,Department,Class,Credits,Requisites,Course Designation,Repeatable for Credit,Last Taught
0,College of Letters & Science,African Cultural Studies,AFRICAN 100,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
1,College of Letters & Science,African Cultural Studies,AFRICAN 201,3,,Gen Ed - Communication Part B Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
2,College of Letters & Science,African Cultural Studies,AFRICAN 202,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
3,College of Letters & Science,African Cultural Studies,AFRICAN 203,3,,Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Summer 2023
4,College of Letters & Science,African Cultural Studies,AFRICAN 204,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
5,College of Letters & Science,African Cultural Studies,AFRICAN/FOLKLORE  210,3,,Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
6,College of Letters & Science,African Cultural Studies,AFRICAN 212,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
7,College of Letters & Science,African Cultural Studies,AFRICAN 230,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2022
8,College of Letters & Science,African Cultural Studies,AFRICAN 231,3,,Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
9,College of Letters & Science,African Cultural Studies,AFRICAN/AFROAMER  233,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Either Humanities or Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
10,College of Letters & Science,African Cultural Studies,AFRICAN 275,1,Sophomore standing,Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
11,College of Letters & Science,African Cultural Studies,AFRICAN/AFROAMER/ANTHRO/GEOG/HISTORY/POLI SCI/SOC  277,4,,Breadth - Either Humanities or Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
12,College of Letters & Science,African Cultural Studies,AFRICAN 300,3,Sophomore standing,Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Spring 2020
13,College of Letters & Science,African Cultural Studies,AFRICAN/INTL ST  302,3,Sophomore standing,Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
14,College of Letters & Science,African Cultural Studies,AFRICAN 303,3,Sophomore standing,Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
15,College of Letters & Science,African Cultural Studies,AFRICAN 321,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
16,College of Letters & Science,African Cultural Studies,AFRICAN 322,5,AFRICAN 321 or 339,Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
17,College of Letters & Science,African Cultural Studies,AFRICAN 323,4,AFRICAN 322 or 340,Frgn Lang - 3rd semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
18,College of Letters & Science,African Cultural Studies,AFRICAN 324,4,AFRICAN 323 or 341,Frgn Lang - 4th semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
19,College of Letters & Science,African Cultural Studies,AFRICAN 329,3,AFRICAN 324 or 342,Frgn Lang - 5th + semester language course Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
20,College of Letters & Science,African Cultural Studies,AFRICAN 330,3,AFRICAN 329 or 343,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
21,College of Letters & Science,African Cultural Studies,AFRICAN 331,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
22,College of Letters & Science,African Cultural Studies,AFRICAN 332,5,AFRICAN 331,Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
23,College of Letters & Science,African Cultural Studies,AFRICAN 333,4,AFRICAN 332,Frgn Lang - 3rd semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
24,College of Letters & Science,African Cultural Studies,AFRICAN 334,4,AFRICAN 333,Frgn Lang - 4th semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
25,College of Letters & Science,African Cultural Studies,AFRICAN 335,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2022
26,College of Letters & Science,African Cultural Studies,AFRICAN 336,4,AFRICAN 335,Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Spring 2023
27,College of Letters & Science,African Cultural Studies,AFRICAN 339,4,"Declared in Arabic, Persian, and Turkish Language Institute",Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
28,College of Letters & Science,African Cultural Studies,AFRICAN 340,4,"Declared in Arabic, Persian, and Turkish Language Institute and (AFRICAN 339 or 321)",Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
29,College of Letters & Science,African Cultural Studies,AFRICAN 341,4,"Declared in Arabic, Persian, and Turkish Language Institute and (AFRICAN 340 or 322)",Frgn Lang - 3rd semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
30,College of Letters & Science,African Cultural Studies,AFRICAN 342,4,"Declared in Arabic, Persian, and Turkish Language Institute and (AFRICAN 341 or 323)",Frgn Lang - 4th semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
31,College of Letters & Science,African Cultural Studies,AFRICAN 343,4,"Declared in Arabic, Persian, and Turkish Language Institute and (AFRICAN 342 or 324)",Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
32,College of Letters & Science,African Cultural Studies,AFRICAN 344,4,"Declared in Arabic, Persian, and Turkish Language Institute and (AFRICAN 343 or 329)",Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
33,College of Letters & Science,African Cultural Studies,AFRICAN 361,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
34,College of Letters & Science,African Cultural Studies,AFRICAN/ASIAN/RELIG ST  370,3,Sophomore standing,Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
35,College of Letters & Science,African Cultural Studies,AFRICAN 371,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
36,College of Letters & Science,African Cultural Studies,AFRICAN 372,5,AFRICAN 371,Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
37,College of Letters & Science,African Cultural Studies,AFRICAN 373,4,AFRICAN 372,Frgn Lang - 3rd semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
38,College of Letters & Science,African Cultural Studies,AFRICAN 374,4,AFRICAN 373,Frgn Lang - 4th semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
39,College of Letters & Science,African Cultural Studies,AFRICAN 391,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
40,College of Letters & Science,African Cultural Studies,AFRICAN 392,4,AFRICAN 391,Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Spring 2020
41,College of Letters & Science,African Cultural Studies,AFRICAN 402,3,"AFRICAN 201, 203, 211, 231, FOLKLORE/AFRICAN  210, or graduate/professional standing",Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2020
42,College of Letters & Science,African Cultural Studies,AFRICAN 403,3,Sophomore standing and 3 credits in AFRICAN,Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
43,College of Letters & Science,African Cultural Studies,AFRICAN 405,3,"Sophomore standing and 3 credits in AFRICAN, or graduate/professional standing",Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
44,College of Letters & Science,African Cultural Studies,AFRICAN 406,3,"Sophomore standing and (AFRICAN 201, 203, 211, 231, or FOLKLORE/AFRICAN  210), or graduate/professional standing",Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
45,College of Letters & Science,African Cultural Studies,AFRICAN 409,3,"Sophomore standing and 3 credits in AFRICAN, or graduate/professional standing",Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2020
46,College of Letters & Science,African Cultural Studies,AFRICAN/AFROAMER  413,3,"Sophomore standing and (AFRICAN 201, 203, 211, 231, or FOLKLORE/AFRICAN  210), or graduate/professional standing",Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2022
47,College of Letters & Science,African Cultural Studies,AFRICAN/RELIG ST  414,3,Sophomore standing,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
48,College of Letters & Science,African Cultural Studies,AFRICAN 435,3,AFRICAN 334,Breadth - Humanities Frgn Lang - 5th + semester language course Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
49,College of Letters & Science,African Cultural Studies,AFRICAN 436,3,AFRICAN 435,Breadth - Humanities Frgn Lang - 5th + semester language course Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
50,College of Letters & Science,African Cultural Studies,AFRICAN/FRENCH  440,3,"Sophomore standing and 3 credits in AFRICAN, or graduate/professional standing",Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2021
51,College of Letters & Science,African Cultural Studies,AFRICAN/COM ARTS/L I S  444,3,Junior standing,Breadth - Either Humanities or Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
52,College of Letters & Science,African Cultural Studies,AFRICAN/PORTUG  451,3,PORTUG 221 and 312,Breadth - Literature. Counts toward the Humanities req Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2022
53,College of Letters & Science,African Cultural Studies,AFRICAN 605,3,"Junior standing and (AFRICAN 402, 403, 405, 406, 407, 409, 412, 413, 440, 453, or 471), or graduate/professional standing",Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2023
54,College of Letters & Science,African Cultural Studies,AFRICAN 670,2,Concurrent enrollment in AFRICAN 671,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
55,College of Letters & Science,African Cultural Studies,AFRICAN 671,4,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
56,College of Letters & Science,African Cultural Studies,AFRICAN 672,8,Admitted to Summer Immersion Language Institute (SILI),Grad 50% - Counts toward 50% graduate coursework requirement,No,Summer 2023
57,College of Letters & Science,African Cultural Studies,AFRICAN 699,1,Consent of instructor,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
58,College of Letters & Science,African Cultural Studies,AFRICAN 700,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
59,College of Letters & Science,African Cultural Studies,AFRICAN 703,1,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
60,College of Letters & Science,African Cultural Studies,AFRICAN 803,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
61,College of Letters & Science,African Cultural Studies,AFRICAN 804,3,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, for 10 number of completions",Spring 2023
62,College of Letters & Science,African Cultural Studies,AFRICAN 901,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
63,College of Letters & Science,African Cultural Studies,AFRICAN 905,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2023
64,College of Letters & Science,African Cultural Studies,AFRICAN 926,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2022
65,College of Letters & Science,African Cultural Studies,AFRICAN/ANTHRO/ECON/GEOG/HISTORY/POLI SCI  983,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2021
66,College of Letters & Science,African Cultural Studies,AFRICAN 990,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
67,College of Letters & Science,African Cultural Studies,AFRICAN 999,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
68,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 215,4,Satisfied Quantitative Reasoning (QR) A requirement,Gen Ed - Quantitative Reasoning Part B Breadth - Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
69,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ENVIR ST  244,4,,Breadth - Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2022
70,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 246,3,,Breadth - Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
71,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 267,1,Sophomore standing and declared in Agricultural and Applied Economics or Agricultural Business Management BS,,No,Fall 2023
72,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 299,1,Consent of instructor,,"Yes, unlimited number of completions",Fall 2023
73,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON/REAL EST/URB R PL  306,3,"(ECON 101, 111, or A A E 215) or declared in undergraduate Business Exchange program",Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
74,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 319,3,"A A E 215, ECON 101, or 111",,"Yes, unlimited number of completions",Fall 2022
75,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 320,3,"A A E 215, ECON 101, or 111",,No,Fall 2023
76,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 322,4,"A A E 215, ECON 101, or 111",Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
77,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 323,3,Sophomore standing and satisfied Quantitative Reasoning (QR) A requirement,Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
78,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 335,2,,,No,Fall 2023
79,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/C&E SOC/SOC  340,3,"SOC/C&E SOC  140, SOC 181, 210, or 211",Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
80,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON/ENVIR ST  343,3,"A A E 215, ECON 101, or 111",Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
81,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/AGRONOMY/NUTR SCI  350,3,,Breadth - Biological Sci. Counts toward the Natural Sci req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
82,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 352,4,Satisfied Quantitative Reasoning (QR) A requirement,Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
83,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/AGRONOMY/HORT/PL PATH  367,3,ENVIR ST/AGROECOL/AGRONOMY/C&E SOC/ENTOM  103 or graduate/professional standing,Breadth - Biological Sci. Counts toward the Natural Sci req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
84,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON  371,3,"A A E 215, ECON 101, or 111",Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
85,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/INTL ST  373,3,"A A E 215, ECON 101, 102, or 111",Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
86,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/INTL ST  374,3,"A A E 215, ECON 101, 102, or 111",Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
87,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 375,1,,,"Yes, unlimited number of completions",Spring 2023
88,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 399,1,Consent of instructor,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Workplace - Workplace Experience Course,"Yes, unlimited number of completions",Fall 2023
89,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 419,3,"A A E 215, ECON 101, or 111",,No,Spring 2023
90,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON  421,4,"STAT 301, 371, ECON 310, SOC/C&E SOC  360, PSYCH 210, or (GEN BUS 306 and 307)",Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
91,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 422,3,"A A E 215, ECON 101, 111, or graduate/professional standing",Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
92,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON/INTL BUS  462,3,"A A E 215, ECON 101, or 111",Breadth - Social Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
93,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON  473,3,"A A E 215, ECON 101, 111, or graduate/professional standing",Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2021
94,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON  474,3,"A A E 215, ECON 101, or 111",Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
95,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON  477,3,"A A E 215, ECON 101, 111, or graduate/professional standing",Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
96,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 500,3,"Senior standing and (declared in Agricultural  Applied Economics, B.S. or Agricultural Business Management, B.S.)",,No,Spring 2023
97,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/REAL EST/URB R PL  520,3,ECON 301 or 311 or graduate/professional standing,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
98,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON  526,4,"(MATH 211 or 221), ECON 301, and STAT 301, or graduate/professional standing",Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
99,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON/F&W ECOL  531,3,ECON 301 or 311 or graduate/professional standing,Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2022
100,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/M H R  540,3,Graduate/professional standing and (ECON 301 or 311),Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2021
101,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 635,3,"MATH 222 and (ECON 301 or 311), or graduate/professional standing",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
102,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 636,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
103,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 637,4,A A E 636,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
104,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 641,3,A A E 635 and 636,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2022
105,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 642,3,A A E 635 and 636,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
106,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 643,3,A A E 635 and 636,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
107,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/F&W ECOL  652,3,"MATH 112, 114, or 171 or placement into MATH 211 or 221",Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
108,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 670,3,"(ECON 101, 111 or A A E 215) and (MATH 211, 217, 221 or 275) or graduate/professional standing",,No,Summer 2023
109,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON/ENVIR ST/URB R PL  671,3,"Graduate/professional standing or (senior standing and A A E 215, ECON 101, or 111)",Breadth - Social Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2020
110,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 691,2,Consent of instructor,,No,Fall 2022
111,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 692,2,Consent of instructor,,No,Spring 2023
112,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 699,1,Consent of instructor,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
113,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 705,3,A A E 635 and graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2020
114,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 706,3,A A E 635 and graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
115,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 718,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Summer 2023
116,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 719,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
117,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 720,1,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
118,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 721,1,Concurrent enrollment in A A E 636 and 771,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
119,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 722,4,A A E 636 or ECON 704,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
120,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 723,1,A A E 721,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
121,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 724,4,A A E 637,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
122,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 730,3,ECON 709 and 711,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2022
123,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 731,3,ECON 709 and 711,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
124,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 737,3,ECON 709 and 710,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2022
125,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E/ECON  747,3,ECON 709 and 711,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2021
126,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 760,3,ECON 709 and 711,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2022
127,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 762,3,ECON 709 and 711,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
128,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 770,3,Declared in the Resource and Energy Demand Analysis program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Summer 2020
129,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 771,3,Declared in the Resource and Energy Demand Analysis program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2020
130,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 772,4,A A E 636 and declared in Agricultural  Applied Economics,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2022
131,College of Agricultural and Life Sciences,Agricultural and Applied Economics,A A E 773,1,Declared in the Resource and Energy Demand Analysis program,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2021
